IDS_CLIENT_GUIDE_INC_000000	您好！我是乒~\n提供一些游戏中的中要情报喔！~
IDS_CLIENT_GUIDE_INC_000019	接着就来了解角色视窗吧!角色视窗是可以看到角色情报的视窗。因为能够确认所有的情报，所以一定要了解喔。\n还有升级时，在这个视窗里会显示支付的GP点数，可以提升各种的能力值。热键为H键。\n\n#cffff0000完成条件：热键'H'
IDS_CLIENT_GUIDE_INC_000020	下面就针对道具装备做个说明吧。请按下I键吧。\n在物品栏的上面，能够看到道具安装与否。在下面，能够看到所持有的道具和金额。\n双击想安装的道具或拖曳到想安装的位置上即可。\n\n#cffff0000完成条件：热键'I'
IDS_CLIENT_GUIDE_INC_000021	接着就来对任务日志记录做个了解吧。\n任务日志记录是提示自己完成任务和目前进行任务的情报的视窗。\n收到任务后，按下Q键，可以确定任务的内容。\n\n#cffff0000完成条件：热键'Q'
IDS_CLIENT_GUIDE_INC_000022	做得很好~接下来为你介绍画面下方中间一排的热键。\n将想要使用的物品、动作、技能设定在此处，下次使用时可按『F1~F9』键直接使用。1~8为扩充栏位。
IDS_CLIENT_GUIDE_INC_000023	独自一人打怪很辛苦吧？那么请和其它的玩家们组成剧团吧。\n如果面对独自一人也很难打倒的巨大怪物时，只要组成剧团一起打怪，就会变得容易。\n要邀请对方加入剧团，可以用\n#cffff0000/剧团要请对方角色名称\n#cff000000邀请。\n一开始会以临时剧团开始，一直维持剧团持续打怪时，会变成巡回剧团。巡回剧团可以使用许多的剧团技能，所以请挑战一次巡回剧团看看吧。
IDS_CLIENT_GUIDE_INC_000024	剧团的情报，按下P键后，就可以在剧团视窗上做确定。\n可以轻松的确定剧团成员的情报或剧团的种类等级等。\n\n#cffff0000完成条件：热键'P'
IDS_CLIENT_GUIDE_INC_000025	对其它玩家按Alt + 点击滑鼠左键。会出现能够对玩家动作的选项\n交易、增得讯息、剧团邀请、公会要求、跟随、查看、鼓励等，请视需要使用。
IDS_CLIENT_GUIDE_INC_000026	下面要介绍1:1交易。这是与对方交易道具或金币时，所使用的交易方法。\n给对方按Alt + 点击滑鼠左键后，接着点击交易选项，在自动询问对方的交易意见后，就能够进行交易。
IDS_CLIENT_GUIDE_INC_000027	你有不需要的道具吗？那么请透过个人商店贩卖给其它玩家吧。\n按下Start钮后，在出现的开始选项中，点击个人商店选项，就会出现个人商店视窗。\n\n#cffff0000完成条件：开启个人商店视窗。
IDS_CLIENT_GUIDE_INC_000028	在物品栏内保管道具的空间不足吗？不用太担心。\n到各城镇里找城镇服务处NPC后，可以使用银行。点击城镇服务处NPC的保管选单后即可。\n布拉里斯市区的城镇服务处NPC就在西边。\n\n#cffff0000完成条件：开启银行。
IDS_CLIENT_GUIDE_INC_000029	我来介绍即时通吧。按下E键后，就可以看到即时通。\n可以轻易知道登录玩家的连线状态或和玩家对话等。\n如果在飞飞世界结交朋友，首先要先登录到讯息视窗吧。\n\n#cffff0000完成条件：热键'E'
IDS_CLIENT_GUIDE_INC_000030	只有对话是无法表现自己的感情的，所以要加上动作表现。\n按下O键后，会出现许多感情表现和脸谱图示。请根据按照做使用吧。\n\n#cffff0000完成条件：热键'O'
IDS_CLIENT_GUIDE_INC_000031	游戏进行时间，每经过1小时就可以获得鼓励点数。\n选择其它的角色在动作视窗(热键O)的加油图示或透过Alt +点击滑鼠左键时，在出现的选单上能够给予加油。\n受到加油的角色在10分内，经验值会增加5%
IDS_CLIENT_GUIDE_INC_000032	现在已经告诉您在飞飞世界里冒险所需要的情报。\n如果有新的情报，我会再告诉你的。如果您还想要了解更详细的内容，就请您参考飞飞世界的官网吧。\n那么就请您去找布拉里斯市区去找精品店商人路伊吧。他会给你准备新手任务的。
IDS_CLIENT_GUIDE_INC_000033	你好！我是情报兵。^^\n等级15级时，可转职成为勇者、魔法使、神职者、杂技师！\n要转职就必需要执行转职任务，所以等级15时，请你要去找各职业的训练教官喔。\n
IDS_CLIENT_GUIDE_INC_000034	现在你的等级已经可以飞行了。那么我就告诉你有关飞行的要领吧。\n按下Space后，会增加飞行速度。再按一次后，就会降低飞行器的速度并停下来。\n点击滑鼠右键，飞行器可以按照滑鼠点击的方向做移动\n双击滑鼠右键后，就不用再做点击，只需移动滑鼠来操作飞行器。\n使用键盘时，可以用W, A, S, D键来操作飞行。\n购买使用加速燃料后，按下X键会加速飞行，再按下X键就会中止加速飞行。
IDS_CLIENT_GUIDE_INC_000035	公会是比剧团更大型的团体，当等级到达40级之后，可以透过城镇服务员海莲娜创立。\n视窗中能够查看公会情报的页面与管理成员的页面。\n公会情报页面中，可确认目前公会的公告事项。\n成员管理页面可管理成员的称号以及支付的薪水等等。
IDS_CLIENT_GUIDE_INC_000036	若进行游戏途中不想心死亡时，可利用生命光柱或生命光塔复活。\n生命光塔位於城镇中，而生命光柱则位於各战斗地区中。\n你可寻找一个生命光柱储存复活的地点，等不小心死亡时\n可考虑回城复活，或直接在纪录的战斗地区附近复活。
IDS_CLIENT_GUIDE_INC_000037	飞飞是可以在空中玩的飞行游戏，想要飞行，游戏角色等级要达到等级20级喔！
IDS_CLIENT_GUIDE_INC_000038	有没有看到有人骑著扫帚或滑板飞过去呢？\nFlyff就是可以自由在天空飞行的游戏喔！\n但是若想要飞行，必须要完成飞行任务，并且到达等级20才能飞喔！\n啊？你还没到20级，问我怎么这么早就出来吗？那是因为飞行任务可从16级就能开始接了啦～加油！去完成飞行任务来早点实现飞行的梦想吧！
IDS_CLIENT_GUIDE_INC_000039	现在你终於到达能够飞行的等级啰！恭喜你^^ 现在开始我来为你说明飞行操作吧！\n首先装备好飞行器后，按一下『空白键』就能启动飞行器啰！\n使用滑鼠右键可操控飞行器的方向与高度\n你也可以利用键盘上的『W、A、S、D』键操控飞行器\n若你有加速燃料，可补充一灌飞行燃料后，按『X』键发动加速飞行喔～再按一次X键就能停止加速飞行啰～
IDS_CLIENT_GUIDE_INC_000040	公会是更大型的剧团组织，等级到达40级后，就能去找圣音特的城镇服务员海莲娜接任公会的任务啰！\n按『G』键可开启公会视窗，首先要注意的是刚创的公会没有名称喔！\n你必须按【NAME】键后，输入你自己的公会名称，才能算是真正成立了自己的公会喔～\n公会的名称只能取一次！所以一定要慎重的命名喔！
